fname,target
s0662.png,non-tb
s3015.png,non-tb
s2488.png,non-tb
s3748.png,non-tb
s2393.png,non-tb
h1833.png,healthy
s2337.png,non-tb
h2818.png,healthy
s0987.png,non-tb
h3922.png,healthy
h2186.png,healthy
s0572.png,non-tb
s2647.png,non-tb
s3438.png,non-tb
h2183.png,healthy
s0081.png,non-tb
h4761.png,healthy
tb0293.png,tb
s0655.png,non-tb
h4948.png,healthy
h1597.png,healthy
s0227.png,non-tb
s2454.png,non-tb
s3575.png,non-tb
h0806.png,healthy
tb0154.png,tb
h0369.png,healthy
tb1092.png,tb
h2096.png,healthy
tb0675.png,tb
s2853.png,non-tb
tb0864.png,tb
tb0313.png,tb
s0320.png,non-tb
h0892.png,healthy
s2351.png,non-tb
tb1183.png,tb
s2744.png,non-tb
tb0114.png,tb
s4097.png,non-tb
tb0199.png,tb
h1678.png,healthy
s2691.png,non-tb
s0219.png,non-tb
h4500.png,healthy
s1884.png,non-tb
tb0538.png,tb
h1818.png,healthy
s3941.png,non-tb
tb0814.png,tb
s0318.png,non-tb
s2701.png,non-tb
s2580.png,non-tb
h2728.png,healthy
s0030.png,non-tb
h3553.png,healthy
h2177.png,healthy
s3442.png,non-tb
h0155.png,healthy
s2379.png,non-tb
h0490.png,healthy
s4865.png,non-tb
s0113.png,non-tb
h0805.png,healthy
s4028.png,non-tb
h1116.png,healthy
tb0592.png,tb
s2164.png,non-tb
s0716.png,non-tb
s4249.png,non-tb
tb0168.png,tb
s4313.png,non-tb
h2064.png,healthy
h4280.png,healthy
h0135.png,healthy
s0312.png,non-tb
tb0581.png,tb
tb1196.png,tb
s3862.png,non-tb
tb0848.png,tb
h0713.png,healthy
s3524.png,non-tb
tb0496.png,tb
tb0838.png,tb
s4734.png,non-tb
s2922.png,non-tb
s1972.png,non-tb
h4416.png,healthy
h1854.png,healthy
tb0553.png,tb
h3317.png,healthy
h0311.png,healthy
h3858.png,healthy
s1233.png,non-tb
tb0721.png,tb
tb0755.png,tb
h1887.png,healthy
h0953.png,healthy
s0201.png,non-tb
h2130.png,healthy
s1726.png,non-tb
s4481.png,non-tb
s3928.png,non-tb
h0831.png,healthy
s0840.png,non-tb
h4148.png,healthy
s0718.png,non-tb
h0458.png,healthy
tb1181.png,tb
h4502.png,healthy
s0023.png,non-tb
s4243.png,non-tb
s1232.png,non-tb
h4229.png,healthy
h0046.png,healthy
h4038.png,healthy
h0082.png,healthy
h0954.png,healthy
s3802.png,non-tb
tb0618.png,tb
h2857.png,healthy
tb0104.png,tb
s4718.png,non-tb
h2965.png,healthy
h1642.png,healthy
tb0893.png,tb
tb0252.png,tb
s0067.png,non-tb
h2583.png,healthy
h0951.png,healthy
h3421.png,healthy
h2648.png,healthy
h3768.png,healthy
s0646.png,non-tb
s1616.png,non-tb
h1011.png,healthy
s0570.png,non-tb
h3412.png,healthy
h4360.png,healthy
s3890.png,non-tb
s2274.png,non-tb
h3931.png,healthy
s4647.png,non-tb
s3163.png,non-tb
s2241.png,non-tb
tb1004.png,tb
h0845.png,healthy
tb0862.png,tb
s3418.png,non-tb
tb0201.png,tb
tb0045.png,tb
h2669.png,healthy
s4727.png,non-tb
tb0859.png,tb
tb1090.png,tb
h3414.png,healthy
tb0839.png,tb
s4359.png,non-tb
tb0865.png,tb
h3029.png,healthy
h0771.png,healthy
tb0138.png,tb
tb1196.png,tb
s4736.png,non-tb
s4728.png,non-tb
s3334.png,non-tb
h4062.png,healthy
s0929.png,non-tb
h2007.png,healthy
h1840.png,healthy
s0111.png,non-tb
h3948.png,healthy
h0389.png,healthy
h4164.png,healthy
s0602.png,non-tb
s0301.png,non-tb
s2294.png,non-tb
s3528.png,non-tb
s3690.png,non-tb
